stop_id,stop_name,stop_lat,stop_lon
28402,Kuppa SiddanaDoddy,12.73513,77.60274
33630,Kuppa SiddanaDoddy,12.73528,77.60288
22216,Kuppareddy Kere,12.84268,77.51789
22217,Kuppareddy Kere,12.84267,77.5177
28404,Kuppemala,13.10573,77.29972
33631,Kuppemala,13.10568,77.2997
28410,Kurubara Karenahalli,12.85448,77.38327
33634,Kurubara Karenahalli,12.85443,77.38332
28414,Kurubarahalli,13.10224,77.79782
33635,Kurubarahalli,13.00085,77.53586
33636,Kurubarahalli,13.00084,77.53588
33637,Kurubarahalli,13.1022,77.79773
28417,Kurubarahalli Cross,13.1267,77.51961
33638,Kurubarahalli Cross,13.12676,77.51959
33639,Kurubarahalli Cross,13.12672,77.51956
22826,Kurubarakunte Cross (Narsari),13.26681,77.74152
22827,Kurubarakunte Cross (Narsari),13.26679,77.74136
28419,Kurubarapalya,12.91143,77.36276
33640,Kurubarapalya,12.9114,77.36269
28421,Kurubarapalya Cross,12.91392,77.36736
33641,Kurubarapalya Cross,12.91395,77.36738
28423,Kurudu Sonnenahalli,13.0141,77.73228
33642,Kurudu Sonnenahalli,13.014,77.73233
38672,Kurudu Sonnenahalli Cross,13.02057,77.72096
38673,Kurudu Sonnenahalli Cross,13.02057,77.72094
24028,Kutaganahalli Cross,12.89751,77.79052
24033,Kutaganahalli Cross,12.89752,77.79048
24030,Kuthaganahalli,12.88893,77.80201
24031,Kuthaganahalli,12.88902,77.80211
20961,Kuvempu Circle,13.04465,77.56263
20962,Kuvempu Circle,13.04457,77.56281
28426,Kuvempu Circle,13.04337,77.56138
33643,Kuvempu Circle,12.90994,77.521
33644,Kuvempu Circle,12.90995,77.52104
31389,Kuvempu Circle 1,13.04319,77.56131
28428,Kuvempunagara,13.0695,77.54144
33645,Kuvempunagara,13.0696,77.54138
35825,Kuvempunagara,12.86789,77.47872
35826,Kuvempunagara,12.86788,77.47862
20687,Kuvempunagara ( BTM Layout),12.91643,77.6159
20686,Kuvempunagara Bus Station(BTM Layout),12.91597,77.61623
35932,Kuvempunagara Bus station (BTM Layout),12.91608,77.61575
28432,Kyalasanahalli,13.05642,77.66027
33646,Kyalasanahalli,13.05638,77.66021
35234,Kyalasanahalli,12.80094,77.65267
28434,Kyalasanahalli Cross,12.80304,77.65165
33647,Kyalasanahalli Cross,12.80314,77.65148
28436,L and T Factory Doddaballapura,13.29225,77.56981
33648,L and T Factory Doddaballapura,13.29211,77.57003
38985,LAKE VIEW appartment near beedi colony,12.92189,77.47585
28523,LG Godown,12.91715,77.51126
33697,LG Godown,12.91712,77.51133
28556,LR Bande,13.02892,77.61059
33711,LR Bande,13.02897,77.61059
39074,LTG Aishwarya,12.78799,77.44673
39075,LTG Aishwarya,12.78796,77.44675
39076,LTG Indraprastha,12.78542,77.44921
39077,LTG Indraprastha,12.78547,77.44915
28439,Laggere Bridge,13.00843,77.52664
33650,Laggere Bridge,13.00756,77.52678
28442,Laggere Cross,13.02245,77.5234
33651,Laggere Cross,13.02265,77.52336
33652,Laggere Cross,13.02265,77.52363
28443,Laggere New Bus Stand,13.01054,77.52504
28445,Lagumenahalli Circle,13.07214,77.75426
33653,Lagumenahalli Circle,13.07218,77.75427
28448,Lagumenahalli Cross,13.40435,77.53498
33654,Lagumenahalli Cross,13.40432,77.53495
28452,Lake Side Hospital,12.98833,77.61736
23517,Lakeshore Garden,13.06987,77.56477
24118,Lakeshore Garden,13.06987,77.56481
28455,Lakkaiahana Doddy,12.77912,77.3351
28456,Lakkaiahanapalya,12.88757,77.40469
28458,Lakkaiahnapalya,12.88949,77.40243
33659,Lakkaiahnapalya,12.88936,77.40252
31390,Lakkaiahnapalya 1,12.88751,77.40469
20965,Lakkasandra,12.94318,77.59735
20966,Lakkasandra,12.94383,77.59713
38439,Lakkasandra,12.79512,77.3245
28460,Lakkasandra Cross T Beguru,13.14979,77.29049
28462,Lakkenahalli Cross,13.062,77.29674
33661,Lakkenahalli Cross,13.06183,77.29677
28464,Lakkenahalli Junction Sondekoppa Road,13.04462,77.39278
33662,Lakkenahalli Junction Sondekoppa Road,13.04459,77.39273
28467,Lakkondahalli,13.11767,77.77041
28469,Lakkondahalli Gate,13.11721,77.77346
33664,Lakkondahalli Gate,13.11712,77.77344
28471,Lakkondahalli Temple,13.11071,77.77428
33665,Lakkondahalli Temple,13.11064,77.77427
21558,Lakkuppe,12.96992,77.41006
21559,Lakkuppe,12.97004,77.40989
28475,Lakkur,12.92756,77.88596
33666,Lakkur,12.92771,77.88626
33667,Lakkur,12.92763,77.88631
33668,Lakkur,12.92739,77.88634
33669,Lakshmaiah Badavane,12.9809,77.46432
28480,Lakshman Rao Nagara Anepalya,12.95029,77.61754
33670,Lakshman Rao Nagara Anepalya,12.9504,77.61751
28482,Lakshmi Devastana,13.0783,77.39275
33671,Lakshmi Devastana,13.07828,77.39271
39572,Lakshmi Institution,12.98862,77.50878
24285,Lakshmi Layout,12.86814,77.62803
24351,Lakshmi Layout,12.86791,77.6282
28484,Lakshmi Temple,12.88637,77.49841
33672,Lakshmi Temple,12.88629,77.49845
22218,Lakshmi Venkateshwara Temple,13.07443,77.55743
22219,Lakshmi Venkateshwara Temple,13.07442,77.5574
24008,Lakshmidevi Nagara,13.0155,77.52607
24009,Lakshmidevi Nagara,13.01552,77.52594
24006,Lakshmidevi Nagara Cross,13.02129,77.52651
22220,Lakshmipura,12.83321,77.51377
22221,Lakshmipura,12.83318,77.51361
22222,Lakshmipura,12.97827,77.63218
22223,Lakshmipura,12.97816,77.63228
28496,Lakshmipura,13.08778,77.53108
33673,Lakshmipura,12.98962,77.38321
33674,Lakshmipura,13.03742,77.46118
33675,Lakshmipura,13.03747,77.4612
33679,Lakshmipura,12.89216,77.39209
33680,Lakshmipura,12.89228,77.39218
33683,Lakshmipura,13.08776,77.53104
28500,Lakshmipura Cross,13.09212,77.5334
33684,Lakshmipura Cross,13.09209,77.534
33685,Lakshmipura Cross,13.09209,77.53397
33686,Lakshmipura Cross,13.09212,77.5333
33687,Lakshmipura Kalkere,12.81872,77.59393
28506,Lakshmisagara,12.82481,77.40439
33688,Lakshmisagara,12.81084,77.72418
33689,Lakshmisagara,12.81075,77.72426
33690,Lakshmisagara,12.82485,77.40438
28508,Lakshmisagara Cross,12.81826,77.73156
28511,Lal Bahaddur Shastri Nagara,12.96927,77.67022
33692,Lal Bahaddur Shastri Nagara,12.85722,77.5733
33693,Lal Bahaddur Shastri Nagara,12.85723,77.57356
23825,Lalbagh Hopcoms,12.95134,77.59126
23922,Lalbagh Hopcoms,12.95122,77.59132
36140,Lalbagh Hopcoms,12.95184,77.59079
36141,Lalbagh Hopcoms,12.95182,77.59056
20967,Lalbagh Main Gate,12.95427,77.58449
23666,Lalbagh Main Gate,12.95408,77.58554
23675,Lalbagh Main Gate,12.95249,77.58335
38814,Lalbagh Metro Station,12.94739,77.57993
20968,Lalbagh West Gate,12.94826,77.57918
22225,Lalbagh West Gate,12.94963,77.57993
38846,Lalbagh West Gate,12.94838,77.57966
22224,Lalbagh West Gate (Lalbagh Metro Station),12.94758,77.58009
28514,Lavanya Talkies,12.98611,77.61542
35357,Lavanya Talkies,12.98601,77.61551
28521,Leelavathi Estate,13.00088,77.34987
33696,Leelavathi Estate,13.00087,77.34992
20969,Lido Talkies,12.97277,77.62141
21235,Lido Talkies,12.97346,77.62005
22226,Lido Talkies,12.97277,77.62074
20970,Life Style (Sacred Heart School),12.96692,77.61018
28525,Lingadeera Mallsandra,12.97917,77.87117
28527,Lingadeera Mallsandra Cross,12.98345,77.87104
33698,Lingadeera Mallsandra Cross,12.98353,77.87114
28529,Lingadeeranahalli,12.99903,77.47898
33699,Lingadeeranahalli,12.99895,77.479
28531,Linganahalli,13.15623,77.523
33700,Linganahalli,13.1561,77.52291
28533,Linganahalli Gate,13.15813,77.52395
33701,Linganahalli Gate,13.15812,77.52392
36098,Linganahalli Gate,13.15816,77.52391
28537,Lingapura,12.82141,77.44405
33702,Lingapura,12.76222,77.67852
33703,Lingapura,12.76212,77.67869
33704,Lingapura,12.82141,77.44411
22227,Lingarajapura,13.01254,77.62585
22228,Lingarajapura,13.01255,77.62589
28541,Lingarajapura,13.12683,77.53373
33706,Lingarajapura,13.12689,77.53385
22229,Lingarajapura Bridge,13.00906,77.6232
22230,Lingarajapura Bridge,13.00905,77.62333
39334,Lingarajapura Indira Canteen,13.00765,77.63048
28545,Lingenahalli,13.0656,77.32496
33708,Lingenahalli,13.06543,77.32488
20971,Link Road,12.99426,77.57388
28549,Lohithanagara (Nelamangala),13.10713,77.38233
33709,Lohithanagara (Nelamangala),13.10711,77.3823
28552,Lottegollahalli,13.04893,77.56748
33710,Lottegollahalli,13.04892,77.5675
35161,Loyola School,12.87103,77.59364
35231,Loyola School,12.87078,77.59333
36211,Loyola School,12.87108,77.59339
39317,Lumbini International Public School,13.11591,77.62463
28518,Lurdubayi Samudaya Bhavana,12.99723,77.52339
33695,Lurdubayi Samudaya Bhavana,12.99752,77.52334
28978,M E S College Aradeshanahalli Road,13.21752,77.55539
28558,M Gopahalli,12.72589,77.40248
33712,M Gopahalli,12.72597,77.40251
28560,M Hosahalli Gate,13.10917,77.87763
33713,M Hosahalli Gate,13.1094,77.87758
28562,M Karenahalli,12.81818,77.36575
33714,M Karenahalli,12.81812,77.36573
38367,M Medahalli,12.73392,77.73928
38787,M S Nagara (Thirumenahalli ),13.09726,77.63581
38788,M S Nagara (Thirumenahalli ),13.09731,77.63592
28564,M Sathyawara,13.14397,77.79809
33715,M Sathyawara,13.14391,77.79787
28920,MC Donald,12.91226,77.63799
33892,MC Donald,12.91231,77.63796
21013,MC Layout,12.97498,77.54212
28922,MD Block,12.99324,77.56954
