route_id,route_short_name,route_long_name,route_type
250-SA ASK-SDN-KBS,250-SA,Arishinakunte ⇔ Kempegowda Bus Station,3
315 ARMY-KMT,315 ARMY-KMT,Army Public School Kamaraja Road ⇔ KR Market,3
300-E ARMY-SBS-KRPGH,300-E,Army Public School Kamaraja Road ⇔ KR Pura Govt Hospital,3
ARMY-SBS-KBS,ARMY-SBS-KBS,Army Public School Kamaraja Road ⇔ Kempegowda Bus Station,3
287-A ARMY-KDHG,287-A,Army Public School Kamaraja Road ⇔ Kodigehalli Gate,3
APS-MYH,APS-MYH,Army Public School Kamaraja Road ⇔ Mayohall,3
144-G ARMPS-NRG,144-G,Army Public School Kamaraja Road ⇔ Neelasandra Rose Garden,3
ARMPS-SMVRS,ARMPS-SMVRS,Army Public School Kamaraja Road ⇔ Sir M Visvesvaraya Terminal,3
290-E ARMY-SBS-YHKOT,290-E,Army Public School Kamaraja Road ⇔ Yelahanka Old Town,3
KIA-5D,KIA-5D,Art of Living Sri Ravishankar Ashram ⇔ Kempegowda International Airport,3
43-H ASP-PLO,43-H ASP-PLO,Ashoka Pillar ⇔ Pramod Layout,3
399 ABS-DMSC-KDG,399,Aspire bee School ⇔ Kadugodi Bus Station,3
399-G,399-G,Attibele Bus Stand ⇔ Anekal,3
360-B ATB-BOMC,360-B,Attibele Bus Stand ⇔ Bommasandra Canara Bank,3
600-F ATB-CSB,600-F,Attibele Bus Stand ⇔ Central Silk Board,3
399-F ATB-D27G,399-F,Attibele Bus Stand ⇔ Depot-27 Gate,3
328HK ATB-D38G,328HK,Attibele Bus Stand ⇔ Depot-38 Gate,3
328-H ATB-D41G,328-H,Attibele Bus Stand ⇔ Depot-41 Gate,3
606,606,Attibele Bus Stand ⇔ Devanagondi,3
600-G ATB-ISRLO,600-G,Attibele Bus Stand ⇔ ISRO Layout,3
328-H ATB-KDG,328-H,Attibele Bus Stand ⇔ Kadugodi Bus Station,3
328-HK,328-HK,Attibele Bus Stand ⇔ Kadugodi Bus Station,3
398-B ATB-KGP,398-B,Attibele Bus Stand ⇔ Kaggalipura,3
360-K KSR-ATB,360-K,Attibele Bus Stand ⇔ Kranthiveera Sangolli Rayanna Railway Station,3
V-500VA ATB-CSB-SVMR,V-500VA,Attibele Bus Stand ⇔ Sir M Visvesvaraya Terminal,3
ATR-PTH,ATR-PTH,Atturu ⇔ Puttenahalli,3
176-E,176-E,BCC Layout ⇔ Kaval Byrasandra,3
63,63,BCC Layout ⇔ Shivajinagara Bus Station,3
356-CW,356-CW,BDA Complex HSR Layout ⇔ Electronic City Wipro Main Gate,3
356-CW UFLY,356-CW UFLY,BDA Complex HSR Layout ⇔ Electronic City Wipro Main Gate,3
KIA-7A,KIA-7A,BDA Complex HSR Layout ⇔ Kempegowda International Airport,3
